summonerName,summonerLevel,rank,wins,losses,winRate,kills,deaths,assists,prefLane,campsKilled,minionsKilled,goldEarned,turretTakedowns,visionScore,dragonKills,longestTimeSpentLiving,totalDamageDealt,totalDamageTaken,gameDuration,gameStart
RbRnashe,172,BRONZE,8,17,0.32,7.2,9.6,7.64,ADC,31.44,129.32,12710.8,1,16.56,0,437.48,147108.92,889731,33.04333333333333,18.172
Hextech Poro,648,BRONZE,11,14,0.44,2.64,7.76,16.32,SUPPORT,0.68,29.12,8987.08,2,54.12,0,505.8,43662.44,780386,29.124,18.78533333333333
ZxZiq,130,BRONZE,9,16,0.36,8.6,8.48,6.12,ADC,21.28,120.96,11793.08,1,11.96,0,471.68,128184.72,628095,30.90666666666667,11.714666666666666
ARNO1119,227,BRONZE,12,13,0.48,6.32,6.72,4.52,TOP,3.12,177.56,12337.68,2,9.84,0,592.24,160933.72,1023959,31.264666666666667,19.040000000000003
Ayarraa,109,BRONZE,15,10,0.6,2.48,5.28,12.44,SUPPORT,0.2,28.36,8333.0,1,68.24,0,612.6,28091.52,401355,29.324666666666666,12.615333333333332
Shakt1,741,BRONZE,12,13,0.48,6.44,6.32,15.2,SUPPORT,1.08,48.84,10991.32,1,40.32,0,539.32,61432.84,525962,27.45733333333333,18.2
C0bRaq,133,BRONZE,11,14,0.44,7.2,8.76,17.24,ADC,1.44,99.32,12816.28,1,12.68,0,382.16,91641.72,701808,25.00133333333333,17.67
Chichinardo,225,BRONZE,11,14,0.44,8.08,9.16,13.48,TOP,2.52,107.8,12532.32,1,10.76,0,443.72,103183.16,861247,25.338,15.055333333333332
G2 Succubus,194,BRONZE,13,12,0.52,7.2,8.72,13.36,SUPPORT,54.76,33.16,11613.08,0,38.68,0,500.96,121426.44,785005,29.576,11.68
MY ART IS MVRDER,241,BRONZE,10,15,0.4,7.04,7.64,9.28,ADC,18.16,164.6,12439.08,1,27.56,0,524.12,159707.84,572049,32.536,18.009333333333334
cmphoenix,229,BRONZE,12,13,0.48,4.76,4.8,6.64,TOP,4.84,163.28,11229.96,2,14.2,0,710.96,134367.48,891842,28.998,11.552
MrAToxic ,526,BRONZE,11,14,0.44,5.04,4.0,4.56,NONE,35.96,104.16,11136.4,1,20.0,0,579.32,149093.6,537128,24.43133333333333,16.984666666666666
japinper,193,BRONZE,10,15,0.4,4.6,8.24,15.12,SUPPORT,0.8,44.96,10484.04,1,33.28,0,451.4,52518.04,559383,26.29133333333333,17.240666666666666
Zwockel,533,BRONZE,17,8,0.68,6.36,4.84,6.24,MIDDLE,7.64,158.2,12470.44,2,33.4,0,629.08,167093.76,497990,29.004666666666665,18.722
XxdDXdxdDXDd,211,BRONZE,12,13,0.48,5.28,6.88,6.52,NONE,2.04,63.12,14840.08,0,10.64,0,315.6,87006.2,643520,22.52466666666667,15.059333333333331
Adamkm11,90,BRONZE,14,11,0.56,6.4,5.68,8.36,NONE,3.76,97.28,15260.48,1,14.68,0,446.96,104365.96,622153,25.366,16.928
tf solo mid,57,BRONZE,13,12,0.52,7.08,6.08,7.24,ADC,18.88,168.12,13007.88,2,17.48,0,623.08,179255.0,597543,31.18933333333333,15.639333333333331
Havoc420,111,BRONZE,17,8,0.68,3.4,6.08,8.44,TOP,1.72,123.32,10366.48,2,15.32,0,685.84,104922.0,586667,32.16,21.380666666666663
renNvo,243,DIAMOND,14,11,0.56,8.12,6.04,6.2,ADC,3.2,188.84,12827.0,2,15.52,0,546.2,135483.52,497403,27.446,17.002
